 ,Label,Area,Min,Max,X,Y,BX,BY,Width,Height,Circ.,AR,Round,Solidity
141,TESTxk,0.000,51.049,51.049,11.649,1.429,11.597,1.387,0.126,0.126,0.000,0.000,0.000,NaN
142,TESTxk,0.000,45.356,45.356,11.628,1.176,11.597,1.134,0.126,0.126,0.000,0.000,0.000,NaN
143,TESTxk,0.000,50.322,50.322,11.481,0.966,11.471,0.882,0.126,0.126,0.000,0.000,0.000,NaN
144,TESTxk,0.000,70.322,70.322,11.229,0.788,11.218,0.756,0.126,0.126,0.000,0.000,0.000,NaN
145,TESTxk,0.000,62.074,62.074,11.019,0.714,10.966,0.630,0.126,0.126,0.000,0.000,0.000,NaN
146,TESTxk,0.000,62.074,62.074,11.019,0.714,10.966,0.630,0.126,0.126,0.000,0.000,0.000,NaN
147,TESTxk,0.000,76.095,76.095,10.914,0.536,10.840,0.504,0.126,0.126,0.000,0.000,0.000,NaN
148,TESTxk,0.000,59.456,59.456,11.092,0.431,11.092,0.378,0.126,0.126,0.000,0.000,0.000,NaN
149,TESTxk,0.000,54.116,54.116,11.355,0.336,11.345,0.252,0.126,0.126,0.000,0.000,0.000,NaN
150,TESTxk,0.000,46.157,46.157,11.471,0.158,11.471,0.126,0.126,0.126,0.000,0.000,0.000,NaN
