 ,Label,Area,Min,Max,X,Y,BX,BY,Width,Height,Circ.,AR,Round,Solidity
60,ddd.png,0.000,82,82,46.996,54.202,46.891,54.202,0.126,0.126,0.000,0.000,0.000,NaN
61,ddd.png,0.000,90,90,47.311,54.181,47.269,54.076,0.126,0.126,0.000,0.000,0.000,NaN
62,ddd.png,0.000,73,73,47.584,54.202,47.521,54.202,0.126,0.126,0.000,0.000,0.000,NaN
63,ddd.png,0.000,77,77,47.983,54.160,47.899,54.076,0.126,0.126,0.000,0.000,0.000,NaN
64,ddd.png,0.000,76,76,48.151,53.971,48.151,53.950,0.126,0.126,0.000,0.000,0.000,NaN
65,ddd.png,0.000,85,85,48.109,53.739,48.025,53.697,0.126,0.126,0.000,0.000,0.000,NaN
66,ddd.png,0.000,89,89,47.962,53.487,47.899,53.445,0.126,0.126,0.000,0.000,0.000,NaN
67,ddd.png,0.000,79,79,47.794,53.298,47.773,53.193,0.126,0.126,0.000,0.000,0.000,NaN
68,ddd.png,0.000,113,113,47.731,53.004,47.647,52.941,0.126,0.126,0.000,0.000,0.000,NaN
69,ddd.png,0.000,83,83,48.025,53.025,48.025,52.941,0.126,0.126,0.000,0.000,0.000,NaN
70,ddd.png,0.000,76,76,48.361,53.109,48.277,53.067,0.126,0.126,0.000,0.000,0.000,NaN
71,ddd.png,0.000,94,94,48.697,53.172,48.655,53.067,0.126,0.126,0.000,0.000,0.000,NaN
72,ddd.png,0.000,81,81,48.992,53.130,48.908,53.067,0.126,0.126,0.000,0.000,0.000,NaN
73,ddd.png,0.000,84,84,49.139,52.962,49.034,52.941,0.126,0.126,0.000,0.000,0.000,NaN
74,ddd.png,0.000,90,90,49.055,52.773,49.034,52.689,0.126,0.126,0.000,0.000,0.000,NaN
75,ddd.png,0.000,91,91,48.971,52.500,48.908,52.437,0.126,0.126,0.000,0.000,0.000,NaN
76,ddd.png,0.000,86,86,48.803,52.269,48.782,52.185,0.126,0.126,0.000,0.000,0.000,NaN
77,ddd.png,0.000,105,105,48.697,52.017,48.655,51.933,0.126,0.126,0.000,0.000,0.000,NaN
78,ddd.png,0.000,84,84,48.929,51.996,48.908,51.933,0.126,0.126,0.000,0.000,0.000,NaN
79,ddd.png,0.000,74,74,49.244,51.996,49.160,51.933,0.126,0.126,0.000,0.000,0.000,NaN
80,ddd.png,0.000,81,81,49.559,51.996,49.538,51.933,0.126,0.126,0.000,0.000,0.000,NaN
81,ddd.png,0.000,75,75,49.895,52.017,49.790,51.933,0.126,0.126,0.000,0.000,0.000,NaN
82,ddd.png,0.000,68,68,50.210,51.954,50.168,51.933,0.126,0.126,0.000,0.000,0.000,NaN
83,ddd.png,0.000,74,74,50.378,51.828,50.294,51.807,0.126,0.126,0.000,0.000,0.000,NaN
84,ddd.png,0.000,72,72,50.588,51.618,50.546,51.555,0.126,0.126,0.000,0.000,0.000,NaN
85,ddd.png,0.000,75,75,50.609,51.345,50.546,51.303,0.126,0.126,0.000,0.000,0.000,NaN
86,ddd.png,0.000,87,87,50.378,51.176,50.294,51.176,0.126,0.126,0.000,0.000,0.000,NaN
87,ddd.png,0.000,84,84,50.315,50.966,50.294,50.924,0.126,0.126,0.000,0.000,0.000,NaN
88,ddd.png,0.000,98,98,50.231,50.672,50.168,50.672,0.126,0.126,0.000,0.000,0.000,NaN
89,ddd.png,0.000,91,91,50.420,50.462,50.420,50.420,0.126,0.126,0.000,0.000,0.000,NaN
90,ddd.png,0.000,84,84,50.819,50.462,50.798,50.420,0.126,0.126,0.000,0.000,0.000,NaN
91,ddd.png,0.000,60,60,51.197,50.672,51.176,50.672,0.126,0.126,0.000,0.000,0.000,NaN
92,ddd.png,0.000,56,56,51.513,50.756,51.429,50.672,0.126,0.126,0.000,0.000,0.000,NaN
93,ddd.png,0.000,65,65,51.723,50.630,51.681,50.546,0.126,0.126,0.000,0.000,0.000,NaN
94,ddd.png,0.000,67,67,51.849,50.378,51.807,50.294,0.126,0.126,0.000,0.000,0.000,NaN
95,ddd.png,0.000,73,73,52.038,50.084,51.933,50.042,0.126,0.126,0.000,0.000,0.000,NaN
96,ddd.png,0.000,72,72,52.059,49.790,52.059,49.790,0.126,0.126,0.000,0.000,0.000,NaN
97,ddd.png,0.000,78,78,51.933,49.622,51.933,49.538,0.126,0.126,0.000,0.000,0.000,NaN
98,ddd.png,0.000,80,80,51.975,49.349,51.933,49.286,0.126,0.126,0.000,0.000,0.000,NaN
99,ddd.png,0.000,78,78,52.080,49.160,52.059,49.160,0.126,0.126,0.000,0.000,0.000,NaN
100,ddd.png,0.000,75,75,52.311,49.076,52.311,49.034,0.126,0.126,0.000,0.000,0.000,NaN
101,ddd.png,0.000,65,65,52.689,49.202,52.689,49.160,0.126,0.126,0.000,0.000,0.000,NaN
102,ddd.png,0.000,63,63,53.151,49.286,53.067,49.286,0.126,0.126,0.000,0.000,0.000,NaN
103,ddd.png,0.000,68,68,53.319,49.139,53.319,49.034,0.126,0.126,0.000,0.000,0.000,NaN
104,ddd.png,0.000,72,72,53.634,48.887,53.571,48.782,0.126,0.126,0.000,0.000,0.000,NaN
105,ddd.png,0.000,76,76,53.697,48.571,53.697,48.529,0.126,0.126,0.000,0.000,0.000,NaN
106,ddd.png,0.000,97,97,53.718,48.151,53.697,48.151,0.126,0.126,0.000,0.000,0.000,NaN
107,ddd.png,0.000,71,71,54.139,48.403,54.076,48.403,0.126,0.126,0.000,0.000,0.000,NaN
108,ddd.png,0.000,68,68,54.517,48.466,54.454,48.403,0.126,0.126,0.000,0.000,0.000,NaN
109,ddd.png,0.000,69,69,54.937,48.403,54.832,48.403,0.126,0.126,0.000,0.000,0.000,NaN
110,ddd.png,0.000,71,71,55.063,48.151,54.958,48.151,0.126,0.126,0.000,0.000,0.000,NaN
111,ddd.png,0.000,63,63,55.084,47.878,55.084,47.773,0.126,0.126,0.000,0.000,0.000,NaN
112,ddd.png,0.000,69,69,54.895,47.584,54.832,47.521,0.126,0.126,0.000,0.000,0.000,NaN
113,ddd.png,0.000,73,73,54.580,47.374,54.580,47.269,0.126,0.126,0.000,0.000,0.000,NaN
114,ddd.png,0.000,83,83,54.391,47.206,54.328,47.143,0.126,0.126,0.000,0.000,0.000,NaN
115,ddd.png,0.000,75,75,54.643,47.017,54.580,47.017,0.126,0.126,0.000,0.000,0.000,NaN
116,ddd.png,0.000,68,68,54.937,46.870,54.832,46.765,0.126,0.126,0.000,0.000,0.000,NaN
117,ddd.png,0.000,73,73,55.105,46.681,55.084,46.639,0.126,0.126,0.000,0.000,0.000,NaN
