 ,Label,Area,Min,Max,X,Y,BX,BY,Width,Height,Circ.,AR,Round,Solidity,Length
96,ddd-1.png:0443-0391,0.000,74,74,45.480,55.480,45.449,55.480,0.124,0.124,0.000,0.000,0.000,NaN,0
97,ddd-1.png:0443-0391,0.000,74,74,45.480,55.480,45.449,55.480,0.124,0.124,0.000,0.000,0.000,NaN,0
98,ddd-1.png:0443-0391,0.000,76,76,45.464,55.356,45.449,55.356,0.124,0.124,0.000,0.000,0.000,NaN,0
99,ddd-1.png:0443-0391,0.000,83,83,45.387,55.294,45.325,55.232,0.124,0.124,0.000,0.000,0.000,NaN,0
100,ddd-1.png:0443-0391,0.000,83,83,45.341,55.248,45.325,55.232,0.124,0.124,0.000,0.000,0.000,NaN,0
101,ddd-1.png:0443-0391,0.000,82,82,45.310,55.093,45.201,54.985,0.124,0.124,0.000,0.000,0.000,NaN,0
102,ddd-1.png:0443-0391,0.000,82,82,45.232,55.077,45.201,54.985,0.124,0.124,0.000,0.000,0.000,NaN,0
103,ddd-1.png:0443-0391,0.000,86,86,45.139,54.938,45.077,54.861,0.124,0.124,0.000,0.000,0.000,NaN,0
104,ddd-1.png:0443-0391,0.000,89,89,45.108,54.783,45.077,54.737,0.124,0.124,0.000,0.000,0.000,NaN,0
105,ddd-1.png:0443-0391,0.000,98,98,45.093,54.644,45.077,54.613,0.124,0.124,0.000,0.000,0.000,NaN,0
106,ddd-1.png:0443-0391,0.000,105,105,45.232,54.551,45.201,54.489,0.124,0.124,0.000,0.000,0.000,NaN,0
107,ddd-1.png:0443-0391,0.000,94,94,45.325,54.567,45.325,54.489,0.124,0.124,0.000,0.000,0.000,NaN,0
108,ddd-1.png:0443-0391,0.000,82,82,45.433,54.613,45.325,54.613,0.124,0.124,0.000,0.000,0.000,NaN,0
109,ddd-1.png:0443-0391,0.000,87,87,45.573,54.613,45.573,54.613,0.124,0.124,0.000,0.000,0.000,NaN,0
110,ddd-1.png:0443-0391,0.000,87,87,45.681,54.613,45.573,54.613,0.124,0.124,0.000,0.000,0.000,NaN,0
111,ddd-1.png:0443-0391,0.000,98,98,45.805,54.613,45.697,54.613,0.124,0.124,0.000,0.000,0.000,NaN,0
112,ddd-1.png:0443-0391,0.000,108,108,45.960,54.598,45.944,54.489,0.124,0.124,0.000,0.000,0.000,NaN,0
113,ddd-1.png:0443-0391,0.000,108,108,45.991,54.582,45.944,54.489,0.124,0.124,0.000,0.000,0.000,NaN,0
114,ddd-1.png:0443-0391,0.000,108,108,46.022,54.567,45.944,54.489,0.124,0.124,0.000,0.000,0.000,NaN,0
115,ddd-1.png:0443-0391,0.000,92,92,46.099,54.458,46.068,54.365,0.124,0.124,0.000,0.000,0.000,NaN,0
116,ddd-1.png:0443-0391,0.000,92,92,46.099,54.458,46.068,54.365,0.124,0.124,0.000,0.000,0.000,NaN,0
117,ddd-1.png:0443-0391,0.000,88,88,46.130,54.272,46.068,54.241,0.124,0.124,0.000,0.000,0.000,NaN,0
118,ddd-1.png:0443-0391,0.000,84,84,46.161,54.195,46.068,54.118,0.124,0.124,0.000,0.000,0.000,NaN,0
119,ddd-1.png:0443-0391,0.000,82,82,46.053,54.102,45.944,53.994,0.124,0.124,0.000,0.000,0.000,NaN,0
120,ddd-1.png:0443-0391,0.000,77,77,45.975,53.978,45.944,53.870,0.124,0.124,0.000,0.000,0.000,NaN,0
121,ddd-1.png:0443-0391,0.000,84,84,45.929,53.870,45.820,53.870,0.124,0.124,0.000,0.000,0.000,NaN,0
122,ddd-1.png:0443-0391,0.000,86,86,45.898,53.746,45.820,53.746,0.124,0.124,0.000,0.000,0.000,NaN,0
123,ddd-1.png:0443-0391,0.000,86,86,45.898,53.746,45.820,53.746,0.124,0.124,0.000,0.000,0.000,NaN,0
124,ddd-1.png:0443-0391,0.000,102,102,45.929,53.483,45.820,53.375,0.124,0.124,0.000,0.000,0.000,NaN,0
125,ddd-1.png:0443-0391,0.000,80,80,46.115,53.375,46.068,53.375,0.124,0.124,0.000,0.000,0.000,NaN,0
126,ddd-1.png:0443-0391,0.000,75,75,46.254,53.251,46.192,53.251,0.124,0.124,0.000,0.000,0.000,NaN,0
127,ddd-1.png:0443-0391,0.000,73,73,46.331,53.266,46.316,53.251,0.124,0.124,0.000,0.000,0.000,NaN,0
128,ddd-1.png:0443-0391,0.000,73,73,46.502,53.266,46.440,53.251,0.124,0.124,0.000,0.000,0.000,NaN,0
129,ddd-1.png:0443-0391,0.000,75,75,46.625,53.282,46.563,53.251,0.124,0.124,0.000,0.000,0.000,NaN,0
130,ddd-1.png:0443-0391,0.000,75,75,46.625,53.282,46.563,53.251,0.124,0.124,0.000,0.000,0.000,NaN,0
131,ddd-1.png:0443-0391,0.000,70,70,46.811,53.266,46.811,53.251,0.124,0.124,0.000,0.000,0.000,NaN,0
132,ddd-1.png:0443-0391,0.000,90,90,46.935,53.204,46.935,53.127,0.124,0.124,0.000,0.000,0.000,NaN,0
133,ddd-1.png:0443-0391,0.000,90,90,46.935,53.204,46.935,53.127,0.124,0.124,0.000,0.000,0.000,NaN,0
134,ddd-1.png:0443-0391,0.000,95,95,47.105,53.111,47.059,53.003,0.124,0.124,0.000,0.000,0.000,NaN,0
135,ddd-1.png:0443-0391,0.000,82,82,47.183,52.926,47.183,52.879,0.124,0.124,0.000,0.000,0.000,NaN,0
136,ddd-1.png:0443-0391,0.000,105,105,47.121,52.786,47.059,52.755,0.124,0.124,0.000,0.000,0.000,NaN,0
137,ddd-1.png:0443-0391,0.000,105,105,47.121,52.786,47.059,52.755,0.124,0.124,0.000,0.000,0.000,NaN,0
138,ddd-1.png:0443-0391,0.000,105,105,47.074,52.755,47.059,52.755,0.124,0.124,0.000,0.000,0.000,NaN,0
139,ddd-1.png:0443-0391,0.000,97,97,47.090,52.647,47.059,52.632,0.124,0.124,0.000,0.000,0.000,NaN,0
140,ddd-1.png:0443-0391,0.000,89,89,47.136,52.601,47.059,52.508,0.124,0.124,0.000,0.000,0.000,NaN,0
141,ddd-1.png:0443-0391,0.000,93,93,46.997,52.585,46.935,52.508,0.124,0.124,0.000,0.000,0.000,NaN,0
142,ddd-1.png:0443-0391,0.000,93,93,46.997,52.585,46.935,52.508,0.124,0.124,0.000,0.000,0.000,NaN,0
143,ddd-1.png:0443-0391,0.000,83,83,46.935,52.446,46.935,52.384,0.124,0.124,0.000,0.000,0.000,NaN,0
144,ddd-1.png:0443-0391,0.000,92,92,46.842,52.337,46.811,52.260,0.124,0.124,0.000,0.000,0.000,NaN,0
145,ddd-1.png:0443-0391,0.000,101,101,46.842,52.198,46.811,52.136,0.124,0.124,0.000,0.000,0.000,NaN,0
146,ddd-1.png:0443-0391,0.000,102,102,46.997,52.105,46.935,52.012,0.124,0.124,0.000,0.000,0.000,NaN,0
147,ddd-1.png:0443-0391,0.000,90,90,47.121,52.090,47.059,52.012,0.124,0.124,0.000,0.000,0.000,NaN,0
148,ddd-1.png:0443-0391,0.000,71,71,47.368,52.152,47.307,52.136,0.124,0.124,0.000,0.000,0.000,NaN,0
149,ddd-1.png:0443-0391,0.000,76,76,47.492,52.152,47.430,52.136,0.124,0.124,0.000,0.000,0.000,NaN,0
